Unnamed: 0,movie_id,movie_name,year,genre,overview,director,cast,emotions,language,industry,runtime,rating,plot
0,tt15354916,Jawan,2023,"Action, Thriller",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone","Excited,  patriotic, revenge, thrilled, tensed, happy",Hindi,Bollywood,169 minutes,7.6,"A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion. Driven by a desire to rectify societal wrongs, Vikram embarks on a mission to obliterate Kalee and presents the government with a set of demands, setting the stage for an electrifying and high-stakes showdown. The film delivers a strong social message about issues like the corrupt political system, challenges faced by farmers, and flaws in the healthcare system. It emphasizes the power of the index finger during elections as a means for citizens to actively participate in shaping the destiny of their country."
1,tt15748830,Jaane Jaan,2023,"Crime, Drama, Mystery",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva","Suspense, Anxiety, Nervousness, Intrigue, Guilt, Fear",Hindi,Bollywood,139 minutes,6.8,A single mother and her daughter commit a crime and a neighbor helps them cover it up amid the police investigation.
2,tt11663228,Jailer,2023,"Action, Comedy, Crime","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff","Excitement, Tension, Admiration, Satisfaction, Relief, Hope",Tamil,Kollywood,169 minutes,7.1,"A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully? Muthuvel Pandian is a retired jailer living happily with his wife, son, daughter-in-law and grandson. His son who is an Assistant Commissioner of police goes missing while investigating the case of missing temple idols and is presumed dead. The story is about how Muthuvel Pandian goes toe to toe against Varma, the mastermind behind large-scale smuggling of temple idols and treasures, and avenges his son."
3,tt14993250,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi","Romantic, Happy, Excited, Frustrated, Anxious, Relaxed",Hindi,Bollywood,168 minutes,6.7,"Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married. Dhanlaxmi Randhawa is an arrogant business women who always considered her husband Kanwal a loser and never let her son Tijori get closer to him.Kanwal met with an accident and became bound to wheelchair for lifetime,years later he has some moments in his body and takes the name Jamini.The doctors ask the family to trace Jamini as it could help him recover his grandson Rocky whose very much closer to him traces Jamini Chatterjee and finds that her granddaughter is a popular anchor Rani Chatterjee.Rocky meets Rani and speaks about Kanwal to her and asks to confirm if her grandmother knew him,Rani does not take him seriously but Jamini revels the truth.Jamini and her family come to meet Kanwal after seeing her he is finally able to get up from his wheelchair and kiss Jamini which does not go well with Dhanlaxmi and her son Tijori.Rocky and Rani try to arrange meetings for their grandparents without the knowledge of their parents and become close to each other.When Rocky proposes Rani she rejects it saying it wasn't a serious relationship but while covering a news assignment in Shimla she realizes her love for Rocky.Rani returns back and revels her love for Rocky but Rani still hasn't planned for marriage as both their families have different mindset and culture.In order understand each others family they decide to live in either house and make a place in family.But Dhanlaxmi has already made her mind that she will never allow their marriage to take place.âalex.mjacko@gmail.com"
4,tt15732324,OMG 2,2023,"Comedy, Drama",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra","Upliftment, Hope, Determination, Empathy, Respect, Gratitude",Hindi,Bollywood,156 minutes,7.8,"An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play. Kanti Sharan Mudgal, a devotee of Lord Shiva, runs a shop in the temple premises and lives happily with his family. He gets a shock when he finds that his son Vivek has been admitted to hospital and finds that the Doctor only wants to speak to him. After Doctor's consultation Kanti finds from Vivek's friend Zaheer that in order to increase the size of his penis Vivek had taken pills after his classmates questioned about his size which led to his hospitalization. Kanti convinces Vivek to return to school, but he is issued a rustication letter after his video of masturbating in the school bathroom goes viral. Kanti's world turns upside-down after this incident as the video becomes viral in society and everyone avoids his family.As Kanti is true follower of Lord Shiva he sends his messenger to help Kanti in his difficult times. The messenger roams as a vagabond in the region and helps Kanti in his difficult times. Kanti gets courage and files a case against Vivek's school and others responsible for the same and also files a plea in court to make sex education compulsory in school so that kids don't go the wrong way.âalex.mjacko@gmail.com"
5,tt18266472,Sukhee,2023,Drama,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila","Happy, Empathetic, Hopeful, Refreshed, Nostalgic, Inspired",Hindi,Bollywood,137 minutes,5.7,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion. A light-hearted, slice-of-life story of Sukhpreet 'Sukhee' Kalra, a 38-year- old Punjabi housewife who, fed up of her everyday, mundane life, goes to Delhi to attend her school reunion. Sukhee relives the 17-year-old version of herself whilst going through a plethora of experiences in a span of just seven days, coming out rekindled, reborn and making the most difficult transition in her life - from being a wife and a mother, to being a woman again."
6,tt18561736,The Great Indian Family,2023,Family,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit","Happy, Humorous, Sentimental, Festive, Loving, Comforting",Hindi,Bollywood,117 minutes,5.5,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth."
7,tt3691740,The BFG,2016,"Adventure, Family, Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","Wonder, Joy, Nostalgia, Awe, Friendship, Comfort",English,Hollywood,117 minutes,6.3,"An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world. Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant. Naturally scared at first, the young girl soon realizes that the twenty-four-foot behemoth is actually quite gentle and charming. As their friendship grows, Sophie's presence attracts the unwanted attention of Bloodbottler, Fleshlumpeater, and other giants. After travelling to London, Sophie and the BFG must convince Queen Elizabeth to help them get rid of all of the bad giants once and for all.âJwelch5742"
8,tt12844910,Pathaan,2023,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia","Excitement, Thrill, Patriotism, Admiration, Joy, Relief",Hindi,Bollywood,146 minutes,5.7,"An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country. Indian RAW agent ""Pathaan"" (Shah Rukh Khan) gets to know of a major impending attack against India, mounted by a mercenary group led by the ruthless enigma Jim (John Abraham), who has a history of his own. With the doomsday clock ticking away and an agent Rubai (Deepika Padukone) his only possible ally, Pathaan must fight countless betrayals and deal with destruction as he takes on Jim."
9,tt15464390,Mastaney,2023,"Action, Drama, History","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol","Excitement, Tension, Patriotism, Anger, Sadness, Fear",Punjabi,Pollywood,152 minutes,8.7,"Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are."
10,tt1187043,3 Idiots,2009,"Comedy, Drama","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".",Rajkumar Hirani,"Aamir Khan, Madhavan, Mona Singh, Sharman Joshi","Happy, Frustrated, Excited, Sad, Anxious, Lonely",Hindi,Bollywood,170 minutes,8.4,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"". Farhan and Raju find from their biggest college rival Chatur that their missing friend Ranchoddas (Rancho) has been traced. The trio start their journey to find him where flashback revels Rancho, Raju and Farhan were engineering students and Rancho always believed that a person should be capable rather then being a bookworm and it will be way to success. He always got in tiff with Chatur and college director Viru Sahastrabuddhe (Virus) but fell in love with his daughter Pia. Things were going fine for them as they also cleared their first year exams in present day they reach house of Rancho where they find his father has passed away and the person who claims to be Rancho is someone else.âalex.mjacko@gmail.com"
11,tt14914988,Satyaprem Ki Katha,2023,"Comedy, Drama, Musical","A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway.",Sameer Vidwans,"Kartik Aaryan, Kiara Advani, Supriya Pathak, Gajraj Rao","Romantic, Happy, Hopeful, Empathetic, Anxious, Heartbroken",Hindi,Bollywood,144 minutes,7.3,"A middle-class boy in Ahmedabad, Satyaprem falling in one-sided love with Katha, who is coping with her breakup with Tapan. Through the journey, they discover each other's life and complement in accomplishing what was left halfway. Satyaprem (Sattu) is an unemployed bachelor living with his parents Narayan and Diwali and sister Sejal.He has attempted LLB exams several times but hasn't cleared yet and dreams of getting married soon.A year back during a Navratri festival he had met Katha at a Pandal where she was performing and fell in love with her but as the festival ended he realized she is very much in relationship with Tapan.In present times Narayan finds that Katha and Tapan have broken up and asks Sattu to inspire Katha on this Navratri but they find from his parents that she wont be performing this year at the function.Sattu sees this as opportunity and goes to meet Katha while her family is at the celebrations but finds that Katha has cut her wrist and takes her to hospital.Katha is not happy with Sattu for saving her life but her parents feel that he is the best choice for their daughter and approach his family also trying to convince Katha.Things go well and the marriage takes place but Katha starts avoiding Sattu since day one giving him handful of reasons until Sattu finds the real cause of her tragedy behind suicide attempt.âalex.mjacko@gmail.com"
12,tt3741834,Lion,2016,"Biography, Drama","A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family.",Garth Davis,"Dev Patel, Nicole Kidman, Rooney Mara, Sunny Pawar","Hope, Sadness, Admiration, Longing, Joy, Anxiety",English,Hollywood,118 minutes,8,"A five-year-old Indian boy is adopted by an Australian couple after getting lost hundreds of kilometers from home. 25 years later, he sets out to find his lost family. In 1986, Saroo was a five-year-old child in India of a poor but happy rural family. On a trip with his brother, Saroo soon finds himself alone and trapped in a moving decommissioned passenger train that takes him to Calcutta, 1000 miles away from home. Now totally lost in an alien urban environment and too young to identify either himself or his home to the authorities, Saroo struggles to survive as a street child until he is sent to an orphanage. Soon, Saroo is selected to be adopted by the Brierley family in Tasmania, where he grows up in a loving, prosperous home. However, for all his material good fortune, Saroo finds himself plagued by his memories of his lost family in his adulthood and tries to search for them even as his guilt drives him to hide this quest from his adoptive parents and his girlfriend. Only when he has an epiphany does he realize not only the answers he needs, but also the steadfast love that he has always had with all his loved ones in both worlds.âKenneth Chisholm (kchishol@rogers.com)"
13,tt13131610,Bholaa Shankar,2023,"Action, Drama",A doting brother tries to hunt down notorious criminals who had harmed his sister.,Meher Ramesh,"Chiranjeevi, Tamannaah Bhatia, Keerthy Suresh, Raghu Babu","Excitement, Frustration, Anger, Anxiety, Tired, Revenge",Telugu,Tollywood,157 minutes,4,"While attempting to build a life in Kolkata with his sister, a taxi driver must confront his dark past as he faces off against the city's underworld."
14,tt22188452,Haddi,2023,"Crime, Drama","In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?",Akshat Ajay Sharma,"Nawazuddin Siddiqui, Anurag Kashyap, Mohd. Zeeshan Ayyub, Resh Lamba","Disgust, Fear, Sadness, Anger, Anxiety, Shock",Hindi,Bollywood,133 minutes,7.1,"In this ZEE5 Original film, a transgender, Haddi moves to Delhi and joins a gang of transgenders and cross-dressers headed by an influential man. But is this move aspirational or driven by revenge?"
15,tt28568397,Friday Night Plan,2023,"Comedy, Drama","When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns.",Vatsal Neelakantan,"Babil Khan, Amrith Jayan, Medha Rana, Aadhya Anand","Happy, Excited, Relaxed, Romantic, Frustrated, Lonely",Hindi,Bollywood,108 minutes,7.3,"When their mother takes off on a business trip, two bickering brothers unite to secretly attend the hottest party of the year before she returns."
16,tt21908676,Neeyat,2023,"Crime, Mystery, Thriller","When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends.",Anu Menon,"Vidya Balan, Ram Kapoor, Rahul Bose, Neeraj Kabi","Suspense, Intrigue, Curiosity, Doubt, Cynicism, Amusement",Hindi,Bollywood,132 minutes,6.1,"When a mysterious murder takes place at exiled billionaire Ashish Kapoor's birthday getaway, detective Mira Rao must use all her skill to unravel devious motives as the suspects are Kapoor's close family and friends. Indian millionaire Ashish Kapoor has dumped the banks for twenty thousand Crore's and eloped to London also leaving his employee's with unpaid salary for more then two years.While Ashish enjoys a lavish life in London and has planned his birthday in a remote area in a 500 year old Castle.This birthday is not as usual lavish for him and he has invited only few of his close associates among them arrives one uninvited female guest.Due to heavy storm and breeze bridge coming to Castle is blocked which means there is no exit for anyone until storm calms down.In between crazy weather the party starts and while raising the toast Ashish tells everyone that he is soon going to surrender to Indian government and clear his name which means he will have to surrender all of his properties in London to Indian Government.Ashish introduces the uninvited guest as CBI officer Meera Rao who is come to arrest him and awaiting for Scotland yard who are stuck in storm.The decision creates havoc in the Castle and Ashish has scuffle with his son and goes out to breathe fresh air.But his friend Zara realizes that Ashish has plunged down into the sea leading to his death and body is washed off shore.Mira starts her investigation and finds that Ashish has not committed suicide but was pushed by someone.The investigation points needle to everyone in the Castle as all of them had reason to kill him.âalex.mjacko@gmail.com"
