movie_id,movie_name,year,genre,overview,director,cast,emotions,language,industry,runtime,rating,imdb_id,plot
1,Jawan,2023,"Action, Thriller",A high-octane action thriller which outlines the emotional journey of a man who is set to rectify the wrongs in the society.,Atlee,"Shah Rukh Khan, Nayanthara, Vijay Sethupathi, Deepika Padukone","Excited,  patriotic, revenge, thrilled, tensed, happy",Hindi,Bollywood,169,7.6,tt15354916,"""A prison warden recruits inmates to commit outrageous crimes that shed light on corruption and injustice - and that lead him to an unexpected reunion. Driven by a desire to rectify societal wrongs, Vikram embarks on a mission to obliterate Kalee and presents the government with a set of demands, setting the stage for an electrifying and high-stakes showdown. The film delivers a strong social message about issues like the corrupt political system, challenges faced by farmers, and flaws in the healthcare system. It emphasizes the power of the index finger during elections as a means for citizens to actively participate in shaping the destiny of their country."""
2,Jaane Jaan,2023,"Crime, Drama, Mystery",A single mother and her daughter who commit a crime and a neighbor who helps them cover it up amidst a police investigation.,Sujoy Ghosh,"Kareena Kapoor, Jaideep Ahlawat, Vijay Varma, Saurabh Sachdeva","Suspense, Anxiety, Nervousness, Intrigue, Guilt, Fear",Hindi,Bollywood,139,6.8,tt15748830,"""A single mother and her daughter commit a crime and a neighbor helps them cover it up amid the police investigation."""
3,Jailer,2023,"Action, Comedy, Crime","A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully?",Nelson Dilipkumar,"Rajinikanth, Mohanlal, Shivarajkumar, Jackie Shroff","Excitement, Tension, Admiration, Satisfaction, Relief, Hope",Tamil,Kollywood,169,7.1,tt11663228,"""A retired jailer goes on a manhunt to find his son's killers. But the road leads him to a familiar, albeit a bit darker place. Can he emerge from this complex situation successfully? Muthuvel Pandian is a retired jailer living happily with his wife, son, daughter-in-law and grandson. His son who is an Assistant Commissioner of police goes missing while investigating the case of missing temple idols and is presumed dead. The story is about how Muthuvel Pandian goes toe to toe against Varma, the mastermind behind large-scale smuggling of temple idols and treasures, and avenges his son."""
4,Rocky Aur Rani Kii Prem Kahaani,2023,"Comedy, Drama, Family","Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married.",Karan Johar,"Ranveer Singh, Alia Bhatt, Dharmendra, Shabana Azmi","Romantic, Happy, Excited, Frustrated, Anxious, Relaxed",Hindi,Bollywood,168,6.7,tt14993250,"""Flamboyant Punjabi Rocky and intellectual Bengali journalist Rani fall in love despite their differences. After facing family opposition, they decide to live with each other's families for three months before getting married. Dhanlaxmi Randhawa is an arrogant business women who always considered her husband Kanwal a loser and never let her son Tijori get closer to him.Kanwal met with an accident and became bound to wheelchair for lifetime,years later he has some moments in his body and takes the name Jamini.The doctors ask the family to trace Jamini as it could help him recover his grandson Rocky whose very much closer to him traces Jamini Chatterjee and finds that her granddaughter is a popular anchor Rani Chatterjee.Rocky meets Rani and speaks about Kanwal to her and asks to confirm if her grandmother knew him,Rani does not take him seriously but Jamini revels the truth.Jamini and her family come to meet Kanwal after seeing her he is finally able to get up from his wheelchair and kiss Jamini which does not go well with Dhanlaxmi and her son Tijori.Rocky and Rani try to arrange meetings for their grandparents without the knowledge of their parents and become close to each other.When Rocky proposes Rani she rejects it saying it wasn't a serious relationship but while covering a news assignment in Shimla she realizes her love for Rocky.Rani returns back and revels her love for Rocky but Rani still hasn't planned for marriage as both their families have different mindset and culture.In order understand each others family they decide to live in either house and make a place in family.But Dhanlaxmi has already made her mind that she will never allow their marriage to take place.—alex.mjacko@gmail.com"""
5,OMG 2,2023,"Comedy, Drama",An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play.,Amit Rai,"Pankaj Tripathi, Akshay Kumar, Yami Gautam, Pawan Malhotra","Upliftment, Hope, Determination, Empathy, Respect, Gratitude",Hindi,Bollywood,156,7.8,tt15732324,"""An unhappy civilian asks the court to mandate comprehensive education in schools in a dramatic yet amusing courtroom play. Kanti Sharan Mudgal, a devotee of Lord Shiva, runs a shop in the temple premises and lives happily with his family. He gets a shock when he finds that his son Vivek has been admitted to hospital and finds that the Doctor only wants to speak to him. After Doctor's consultation Kanti finds from Vivek's friend Zaheer that in order to increase the size of his penis Vivek had taken pills after his classmates questioned about his size which led to his hospitalization. Kanti convinces Vivek to return to school, but he is issued a rustication letter after his video of masturbating in the school bathroom goes viral. Kanti's world turns upside-down after this incident as the video becomes viral in society and everyone avoids his family.As Kanti is true follower of Lord Shiva he sends his messenger to help Kanti in his difficult times. The messenger roams as a vagabond in the region and helps Kanti in his difficult times. Kanti gets courage and files a case against Vivek's school and others responsible for the same and also files a plea in court to make sex education compulsory in school so that kids don't go the wrong way.—alex.mjacko@gmail.com"""
6,Sukhee,2023,Drama,"Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion.",Sonal Joshi,"Shilpa Shetty Kundra, Amit Sadh, Chaitannya Choudhry, Kusha Kapila","Happy, Empathetic, Hopeful, Refreshed, Nostalgic, Inspired",Hindi,Bollywood,137,5.7,tt18266472,"""Much to the dismay of her husband, a middle-class housewife, known for her rebellious attitude in high school, decides to attend her class reunion. A light-hearted, slice-of-life story of Sukhpreet 'Sukhee' Kalra, a 38-year- old Punjabi housewife who, fed up of her everyday, mundane life, goes to Delhi to attend her school reunion. Sukhee relives the 17-year-old version of herself whilst going through a plethora of experiences in a span of just seven days, coming out rekindled, reborn and making the most difficult transition in her life - from being a wife and a mother, to being a woman again."""
7,The Great Indian Family,2023,Family,"Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth.",Vijay Krishna Acharya,"Alka Amin, Bhuvan Arora, Manushi Chhillar, Srishti Dixit","Happy, Humorous, Sentimental, Festive, Loving, Comforting",Hindi,Bollywood,117,5.5,tt18561736,"""Ved Vyas Tripathi, aka Bhajan Kumar, is a devout Hindu man who faces an identity crisis and a personal dilemma when he discovers he is actually a Muslim by birth."""
8,The BFG,2016,"Adventure, Family, Fantasy","An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world.",Steven Spielberg,"Mark Rylance, Ruby Barnhill, Penelope Wilton, Jemaine Clement","Wonder, Joy, Nostalgia, Awe, Friendship, Comfort",English,Hollywood,117,6.3,tt3691740,"""An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world. Ten-year-old Sophie is in for the adventure of a lifetime when she meets the Big Friendly Giant. Naturally scared at first, the young girl soon realizes that the twenty-four-foot behemoth is actually quite gentle and charming. As their friendship grows, Sophie's presence attracts the unwanted attention of Bloodbottler, Fleshlumpeater, and other giants. After travelling to London, Sophie and the BFG must convince Queen Elizabeth to help them get rid of all of the bad giants once and for all.—Jwelch5742"""
9,Pathaan,2023,"Action, Adventure, Thriller","An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country.",Siddharth Anand,"Shah Rukh Khan, Deepika Padukone, John Abraham, Dimple Kapadia","Excitement, Thrill, Patriotism, Admiration, Joy, Relief",Hindi,Bollywood,146,5.7,tt12844910,"""An Indian agent races against a doomsday clock as a ruthless mercenary, with a bitter vendetta, mounts an apocalyptic attack against the country. Indian RAW agent ""Pathaan"" (Shah Rukh Khan) gets to know of a major impending attack against India, mounted by a mercenary group led by the ruthless enigma Jim (John Abraham), who has a history of his own. With the doomsday clock ticking away and an agent Rubai (Deepika Padukone) his only possible ally, Pathaan must fight countless betrayals and deal with destruction as he takes on Jim."""
10,Mastaney,2023,"Action, Drama, History","Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are.",Sharan Art,"Tarsem Jassar, Simi Chahal, Gurpreet Ghuggi, Karamjit Anmol","Excitement, Tension, Patriotism, Anger, Sadness, Fear",Punjabi,Pollywood,152,8.7,tt15464390,"""Set in 1739, Nadar Shah's undefeated army was attacked by Sikh Rebellions. Nadar demands to arrest them but it doesn't work out. Five ordinary men are hired to play Sikh Rebellions but over time they learn what Sikhs are."""
